ID_C,ID_S,Nome,Città,Fondazione,Stadio,Scudetti
4769,6391,GFC Ajaccio,Ajaccio,1909-11-30,Stade Ange Casanova,0
13274,6413,PEC Zwolle,Zwolle,1909-11-30,IJsseldeltastadion,0
13274,7788,SC Cambuur,Leeuwarden,1963-11-30,Cambuur Stadion,0
4769,7794,SC Bastia,Bastia,1904-11-30,Armand Cesari,0
4769,7819,SM Caen,Caen,1912-11-30,Stadio Michel d'Ornano,0
21518,7878,Granada CF,Granada,1930-11-30,Nuevo Los Carmenes,0
10257,7943,Sassuolo,Sassuolo,1919-11-30,Mapei Stadium,0
4769,8121,Angers SCO,Angers,1918-11-30,Jean Bouin,0
7809,8177,Hertha BSC Berlin,Berlino,1891-11-30,Olympiastadion,2
7809,8178,Bayer 04 Leverkusen,Leverkusen,1903-11-30,BayArena,0
1729,8197,Leicester City,Leicester,1883-11-30,King Power Stadium,1
7809,8226,TSG 1899 Hoffenheim,Sinsheim,1898-11-30,Wirsol Rhein-Neckar-Arena,0
7809,8234,FC Ingolstadt 04,Ingolstadt,2003-11-30,Audi-Sportpark,0
7809,8262,SV Darmstadt 98,Darmstadt,1897-11-30,Jonathan Heimes Stadion,0
13274,8277,Vitesse,Arnhem,1891-11-30,Gelredome,0
21518,8302,Sevilla FC,Siviglia,1889-11-30,Estadio Ramón Sánchez-Pizjuán,1
21518,8305,Getafe CF,Getafe,1945-11-30,Coliseum Alfonso Perez,0
21518,8306,UD Las Palmas,Las Palmas de Gran Canaria,1948-11-30,Estadio de Gran Canaria,0
21518,8315,Athletic Bilbao,Bilbao,1897-11-30,San Mamés,8
21518,8370,Rayo Vallecano,Madrid,1923-11-30,Campo de Fútbol de Vallecas,0
21518,8372,SD Eibar,Eibar,1939-11-30,Municipal de Ipurua,0
7809,8406,FC Augsburg,Augsburg,1906-11-30,WWK Arena,0
1729,8455,Chelsea,Londra,1904-11-30,Stamford Bridge,6
1729,8456,Manchester City,Manchester,1879-11-30,Etihad Stadium,4
13274,8464,N.E.C.,Nimega,1899-11-30,Goffertstadion,0
1729,8466,Southampton,Southampton,1884-11-30,St. Mary's Stadium,0
1729,8472,Sunderland,Sunderland,1878-11-30,Stadium of Light,6
10257,8524,Atalanta,Bergamo,1906-11-30,Atleti Azzurri d'Italia,0
13274,8525,Willem II,Tilburg,1895-11-30,Willem II,3
13274,8526,De Graafschap,Doetinchem,1953-11-30,Stadion De Vijverberg,0
10257,8533,Chievo,Chievo,1928-11-30,Marcantonio Bentegodi,0
10257,8534,Empoli,Empoli,1919-11-30,Carlo Castellani,0
10257,8535,Fiorentina,Firenze,1925-11-30,Artemio Franchi,2
10257,8540,Palermo,Palermo,1899-11-30,Renzo Barbera,0
10257,8543,Lazio,Roma,1899-11-30,Stadio Olimpico,2
21518,8558,RCD Espanyol,Barcellona,1899-11-30,Estadi Cornellà-El Prat,0
21518,8560,Real Sociedad,San Sebastián,1908-11-30,Anoeta,2
10257,8564,Milan,Milano,1898-11-30,Giuseppe Meazza,18
21518,8581,Levante UD,Valencia,1908-11-30,Ciutat de Valencia,0
1729,8586,Tottenham Hotspur,Londra,1881-11-30,Wembley Stadium,2
4769,8592,Olympique de Marseille,Marsiglia,1898-11-30,Stadio Velodrome,9
13274,8593,Ajax,Amsterdam,1899-11-30,Johann Cruijff ArenA,33
10257,8600,Udinese,Udine,1895-11-30,Dacia Arena,0
21518,8603,Real Betis Balompié,Siviglia,1906-11-30,Stadio Benito Villamarín,1
13274,8611,FC Twente,Enschede,1964-11-30,De Grolsch Veste,1
21518,8633,Real Madrid,Madrid,1901-11-30,Santiago Bernabéu,33
21518,8634,FC Barcelona,Barcellona,1898-11-30,Camp Nou,24
10257,8636,Inter,Milano,1907-11-30,Giuseppe Meazza,18
4769,8639,LOSC Lille,Lille,1943-11-30,Stade Pierre-Mauroy,3
13274,8640,PSV,Eindhoven,1912-11-30,Philips Stadion,23
1729,8650,Liverpool,Liverpool,1988-11-30,Anfield,18
1729,8654,West Ham United,Londra,1894-11-30,London Stadium,0
1729,8659,West Bromwich Albion,West Bromwich,1877-11-30,The Hawthorns,1
1729,8668,Everton,Liverpool,1877-11-30,Goodison Park,9
13274,8674,FC Groningen,Gronigen,1970-11-30,Euroborg,0
1729,8678,Bournemouth,Bournemouth,1898-11-30,Vitality Stadium,0
10257,8686,AS Roma,Roma,1926-11-30,Stadio Olimpico,3
4769,8689,FC Lorient,Lorient,1925-11-30,Stade du Moustoir,0
7809,8697,SV Werder Bremen,Brema,1898-11-30,Weserstadion,4
7809,8721,VfL Wolfsburg,Wolfsburg,1944-11-30,Volkswagen Arena,1
7809,8722,1. FC Köln,Colonia,1947-11-30,RheinEnergieStadion,3
4769,9747,En Avant de Guingamp,Guingamp,1911-11-30,Stade de Roudourou,0
4769,9748,Olympique Lyonnais,Lione,1949-11-30,Parc OL,7
21518,9783,RC Deportivo de La Coruña,A Coruña,1905-11-30,Riazor,1
7809,9788,Borussia Mönchengladbach,Mönchengladbach,1899-11-30,Stadion im Borussia-Park,5
7809,9789,Borussia Dortmund,Dortmund,1908-11-30,Signal Iduna Park,8
7809,9790,Hamburger SV,Amburgo,1886-11-30,Volksparkstadion,6
13274,9791,Heracles Almelo,Almelo,1902-11-30,Polman Stadion,1
13274,9803,Roda JC Kerkrade,Kerkrade,1961-11-30,Parkstad Limburg Stadion,1
10257,9804,Torino,Torino,1905-11-30,Olimpico Grande Torino,7
7809,9810,Eintracht Frankfurt,Frankfurt,1898-11-30,Commerzbank-Arena,1
1729,9817,Watford,Watford,1880-11-30,Vicarage Road,0
7809,9823,FC Bayern Munich,Munich,1899-11-30,Allianz Arena,27
1729,9825,Arsenal,Londra,1885-11-30,Emirates Stadium,13
1729,9826,Crystal Palace,Londra,1904-11-30,Selhurst Park,0
4769,9827,Girondins de Bordeaux,Bordeaux,1880-11-30,Matmut-Atlantique,6
4769,9829,AS Monaco,Monaco,1923-11-30,Stade Louis II,8
4769,9830,FC Nantes,Nantes,1942-11-30,La Beaujoire-Louis Fonteneau,8
4769,9831,OGC Nice,Nizza,1903-11-30,Allianz Riviera,4
4769,9837,Stade de Reims,Reims,1930-11-30,Stade Auguste Delaune,6
4769,9847,Paris Saint-Germain,Parigi,1969-11-30,Parc des Princes,6
1729,9850,Norwich City,Norwich,1901-11-30,Carrow Road,0
4769,9851,Stade Rennais FC,Rennais,1900-11-30,Stade de la Route de Lorient,0
4769,9853,AS Saint-Étienne,Saint-Étienne,1918-11-30,Geoffroy-Guichard,10
10257,9857,Bologna,Bologna,1908-11-30,Renato Dall'Ara,7
21518,9864,Málaga CF,Málaga,1903-11-30,La Rosaleda,0
21518,9869,Real Sporting de Gijón,Gijón,1904-11-30,El Molinón,0
10257,9875,Napoli,Napoli,1925-11-30,San Paolo,2
10257,9876,Hellas Verona,Verona,1902-11-30,Marcantonio Bentegodi,1
10257,9882,Sampdoria,Genova,1945-11-30,Luigi Ferraris,1
10257,9885,Juventus,Torino,1896-11-30,Juventus Stadium,33
10257,9891,Frosinone,Frosinone,1911-11-30,Benito Stirpe,0
7809,9904,Hannover 96,Hannover,1895-11-30,HDI-Arena,2
7809,9905,1. FSV Mainz 05,Magonza,1904-11-30,Opel Arena,0
21518,9906,Atlético Madrid,Madrid,1902-11-30,Wanda Metropolitano,10
13274,9908,FC Utrecht,Utrecht,1969-11-30,Stadion Galgenwaard,0
21518,9910,RC Celta de Vigo,Vigo,1922-11-30,Balaidos,0
4769,9941,Toulouse FC,Tolosa,1969-11-30,Stade de Toulouse,0
1729,10003,Swansea City,Swansea,1911-11-30,Liberty Stadium,0
7809,10189,FC Schalke 04,Gelsenkirchen,1903-11-30,Veltins-Arena,7
1729,10194,Stoke City,Stoke-on-Trent,1862-11-30,Bet365 Stadium,0
21518,10205,Villarreal CF,Vila-real,1922-11-30,Estadio de la Cerámica,0
13274,10217,ADO Den Haag,L'Aia,1904-11-30,Kyocera Stadion,2
13274,10218,Excelsior,Rotterdam,1901-11-30,Stadion Woudestein,0
13274,10228,SC Heerenveen,Heerenveen,1919-11-30,Abe Lenstra Stadion,0
13274,10229,AZ,Alkmaar,1967-05-10,AFAS Stadion,2
10257,10233,Genoa,Genova,1892-11-30,Luigi Ferraris,9
13274,10235,Feyenoord,Rotterdam,1907-11-30,Feijenoord Stadion,15
4769,10242,ES Troyes AC,Troyes,1899-11-30,Stade de l'Aube,0
4769,10249,Montpellier Hérault SC,Montpellier,1918-11-30,Stade de la Mosson,1
1729,10252,Aston Villa,Birmingham,1873-11-30,Villa Park,7
1729,10260,Manchester United,Manchester,1877-11-30,Old Trafford,20
1729,10261,Newcastle United,Newcastle,1891-11-30,St. James' Park,4
21518,10267,Valencia CF,Valencia,1918-11-30,Stadio Mestalla,6
7809,10269,VfB Stuttgart,Stoccarda,1892-11-30,Mercedes-Benz Arena,5
10257,208931,Carpi,Carpi,1908-11-30,Sandro Cabassi,0
