Nome,Inaugurazione,Costo,Posti
RheinEnergieStadion,1922-11-30,24,50997
Opel Arena,2010-11-30,60,34034
Kyocera Stadion,2006-11-30,28,15000
Stade Louis II,1985-01-25,\N,18523
Geoffroy-Guichard,1931-09-13,\N,41965
AFAS Stadion,2006-08-04,38,17023
Johann Cruijff ArenA,1996-08-14,140,54033
Jean Bouin,1911-11-30,\N,17100
Emirates Stadium,2006-07-22,434,60260
Villa Park,1896-11-30,\N,42660
Atleti Azzurri d'Italia,1928-12-23,\N,21300
San Mamés,2013-09-16,173,53289
Wanda Metropolitano,1994-09-06,60,67703
BayArena,1958-08-02,70,30210
Renato Dall'Ara,1926-11-30,\N,36462
Signal Iduna Park,1974-04-02,200,81359
Stadion im Borussia-Park,2004-07-30,87,54014
Vitality Stadium,1909-11-30,\N,11464
Sandro Cabassi,1928-10-21,\N,5510
Stamford Bridge,1877-04-28,\N,41663
Marcantonio Bentegodi,1963-12-15,40,39211
Selhurst Park,1923-11-30,\N,25073
Stadion De Vijverberg,1954-09-04,\N,12600
Stade de l'Aube,1924-11-30,\N,20400
Commerzbank-Arena,1924-11-30,150,51500
Carlo Castellani,1964-11-30,\N,16284
Stade de Roudourou,1989-11-30,\N,18256
Goodison Park,1892-08-24,\N,40157
Stadion Woudestein,1938-11-30,\N,3527
WWK Arena,2008-11-30,\N,30660
Camp Nou,1956-11-30,2,99354
Allianz Arena,2005-05-30,340,75000
Euroborg,2005-11-30,\N,22579
Audi-Sportpark,2009-11-30,20,15800
Stade du Moustoir,1958-11-30,\N,19010
La Beaujoire-Louis Fonteneau,1984-06-08,\N,38128
Veltins-Arena,2000-11-30,191,62271
De Grolsch Veste,1998-05-10,50,30205
Stadion Galgenwaard,1969-11-30,\N,23750
Feijenoord Stadion,1907-11-30,\N,51117
Artemio Franchi,1931-09-13,39,46366
Benito Stirpe,2016-11-30,20,16125
Stade Ange Casanova,1960-11-30,\N,6000
Luigi Ferraris,1911-01-22,\N,36600
Coliseum Alfonso Perez,1997-11-30,\N,17393
Matmut-Atlantique,2014-11-30,168,42115
Nuevo Los Carmenes,1995-05-16,\N,23156
Volksparkstadion,1952-11-30,64,55989
HDI-Arena,1954-09-26,83,49200
Polman Stadion,1999-09-10,\N,12080
Olympiastadion,1936-08-01,297,74475
Giuseppe Meazza,1926-09-19,60,80018
Juventus Stadium,2011-09-08,155,41507
Stade Pierre-Mauroy,2011-11-30,282,49822
Stadio Olimpico,1952-11-30,110,70634
King Power Stadium,2001-11-30,41,32312
Ciutat de Valencia,1968-11-30,\N,26354
Anfield,1883-11-30,260,54074
Etihad Stadium,2002-08-10,124,55097
Old Trafford,1909-11-30,60,75653
Stade de la Mosson,1972-01-13,\N,32900
La Rosaleda,1941-09-15,\N,30044
Goffertstadion,1999-11-30,27,12500
San Paolo,1959-12-06,80,60240
St. James' Park,1891-11-30,42,52354
Carrow Road,1934-11-30,20,43984
Allianz Riviera,2012-11-30,245,35596
Parc OL,2016-01-09,480,59186
Stadio Velodrome,1936-11-30,267,67394
IJsseldeltastadion,2007-03-09,\N,13250
Philips Stadion,1910-12-12,\N,35000
Renzo Barbera,1932-01-24,22,36349
Parc des Princes,1972-07-04,22,47929
Balaidos,1928-12-30,\N,29000
Riazor,1944-11-28,\N,32912
Estadi Cornellà-El Prat,2009-08-02,54,40500
Campo de Fútbol de Vallecas,1976-05-10,\N,14505
Stadio Benito Villamarín,1928-11-30,\N,60720
Santiago Bernabéu,1947-12-14,2,81044
Anoeta,1992-11-30,21,32000
El Molinón,1907-11-30,\N,29029
Parkstad Limburg Stadion,1999-11-30,40,19000
Armand Cesari,1931-11-30,\N,16000
Cambuur Stadion,1936-11-12,\N,10500
Abe Lenstra Stadion,1994-08-20,\N,26800
Municipal de Ipurua,1946-11-30,\N,7083
Stadio Michel d'Ornano,1992-11-30,23,21000
Jonathan Heimes Stadion,1920-11-30,\N,17000
Weserstadion,1946-11-30,76,42100
Mapei Stadium,1994-11-30,11,23717
Estadio Ramón Sánchez-Pizjuán,1958-09-07,\N,42714
St. Mary's Stadium,2000-11-30,35,32505
Stade de la Route de Lorient,1912-09-15,\N,29778
Stade Auguste Delaune,1934-11-30,50,21684
Bet365 Stadium,1996-11-30,15,27740
Stadium of Light,1996-11-30,25,48707
Liberty Stadium,2004-11-30,30,21088
Wirsol Rhein-Neckar-Arena,2008-11-30,60,30164
Olimpico Grande Torino,1932-11-30,30,27958
Wembley Stadium,2007-03-09,839,27958
Stade de Toulouse,1936-11-30,\N,33150
Estadio de Gran Canaria,2003-05-08,\N,33111
Dacia Arena,1976-09-26,1,25132
Stadio Mestalla,1923-05-20,\N,49500
Mercedes-Benz Arena,1933-07-23,63,60469
Volkswagen Arena,2001-11-30,53,30122
Estadio de la Cerámica,1923-06-17,\N,24890
Gelredome,1998-03-25,\N,25500
Vicarage Road,1922-08-30,\N,23700
The Hawthorns,1900-10-31,7,26850
London Stadium,2012-05-06,620,60000
Willem II,1994-11-30,\N,14750
